[ReparadorMateriales] Inicio DRY-RUN - 2025-09-14 10:07:06
Carpeta sectores: C:\Users\jose.cespedes\Documents\GitHub\dotnet-juego-rpg\MiJuegoRPG\DatosJuego\mapa\SectoresMapa
- 11_0 (11_0.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 11_1 (11_1.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 11_10 (11_10.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_11 (11_11.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 11_12 (11_12.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_13 (11_13.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_14 (11_14.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_15 (11_15.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 11_16 (11_16.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_17 (11_17.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_18 (11_18.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 11_19 (11_19.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_2 (11_2.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 11_20 (11_20.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_21 (11_21.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_22 (11_22.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_23 (11_23.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_24 (11_24.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_25 (11_25.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_26 (11_26.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_27 (11_27.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 11_28 (11_28.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_29 (11_29.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_3 (11_3.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 11_30 (11_30.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_31 (11_31.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 11_32 (11_32.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_33 (11_33.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_34 (11_34.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_35 (11_35.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_36 (11_36.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_37 (11_37.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_38 (11_38.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_39 (11_39.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_4 (11_4.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_40 (11_40.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 11_41 (11_41.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_42 (11_42.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_43 (11_43.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_44 (11_44.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_45 (11_45.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_46 (11_46.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_47 (11_47.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 11_48 (11_48.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_49 (11_49.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_5 (11_5.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_50 (11_50.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 11_51 (11_51.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 11_52 (11_52.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 11_53 (11_53.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 11_54 (11_54.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 11_6 (11_6.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 11_7 (11_7.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_8 (11_8.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 11_9 (11_9.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_0 (12_0.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 12_1 (12_1.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 12_10 (12_10.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_11 (12_11.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_12 (12_12.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 12_13 (12_13.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_14 (12_14.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 12_15 (12_15.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_16 (12_16.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_17 (12_17.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_18 (12_18.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_19 (12_19.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 12_2 (12_2.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 12_20 (12_20.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_21 (12_21.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_22 (12_22.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 12_23 (12_23.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
